order,recipe,repeat_id,source_selection_id,label,image_id,source_path,input_folder,input_filename,output_path,input_sha256,output_sha256
1,messenger_upload_download,rep_01,rtv03_baseball_03,baseball,11442,data/raw/mini_cure_or/test/11442.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8577.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/11442.jpg,f1c8589c98b6ab5f27e2acdaa4494375d080adaa60b2c4ea877895c86546a432,f1c8589c98b6ab5f27e2acdaa4494375d080adaa60b2c4ea877895c86546a432
2,messenger_upload_download,rep_01,rtv03_baseball_05,baseball,13590,data/raw/mini_cure_or/test/13590.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8578.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13590.jpg,831582e28c2f1b2f7f7bb66f1278a30b044396d88be3ad7b4826c9f5542cc50b,831582e28c2f1b2f7f7bb66f1278a30b044396d88be3ad7b4826c9f5542cc50b
3,messenger_upload_download,rep_01,rtv03_baseball_06,baseball,13724,data/raw/mini_cure_or/test/13724.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8579.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13724.jpg,4a3e7bd93a03bf2eaaa67ced7c91c7cbe320563c6f40a3a5f6c387747bbb0178,4a3e7bd93a03bf2eaaa67ced7c91c7cbe320563c6f40a3a5f6c387747bbb0178
4,messenger_upload_download,rep_01,rtv03_baseball_07,baseball,14773,data/raw/mini_cure_or/test/14773.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8580.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14773.jpg,cbbd1066c669c8898995b3ab07fe1b713e0b65ade39e743d87163aa142992bb5,cbbd1066c669c8898995b3ab07fe1b713e0b65ade39e743d87163aa142992bb5
5,messenger_upload_download,rep_01,rtv03_baseball_08,baseball,15024,data/raw/mini_cure_or/test/15024.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8581.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15024.jpg,fb348a99bdd726f7eed6660ca634876ed725b288ab8c34404b9f52d0aa2e2e0f,fb348a99bdd726f7eed6660ca634876ed725b288ab8c34404b9f52d0aa2e2e0f
6,messenger_upload_download,rep_01,rtv03_baseball_09,baseball,15309,data/raw/mini_cure_or/test/15309.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8582.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15309.jpg,70682a570ab479b58dd6d704d221dbdd7dcf60e147670840bc62747264146f00,70682a570ab479b58dd6d704d221dbdd7dcf60e147670840bc62747264146f00
7,messenger_upload_download,rep_01,rtv03_baseball_10,baseball,15621,data/raw/mini_cure_or/test/15621.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8583.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15621.jpg,02a2eee0d7a95dc8a45183f7a1374b86b4233f07a39a6c1ff468ac2390f83061,02a2eee0d7a95dc8a45183f7a1374b86b4233f07a39a6c1ff468ac2390f83061
8,messenger_upload_download,rep_01,rtv03_calcium_bottle_04,calcium_bottle,14220,data/raw/mini_cure_or/test/14220.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8584.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14220.jpg,401560ea52fcfd9cdf5bb66d7696810ff84751f89ddbfe391151ea3490c876df,401560ea52fcfd9cdf5bb66d7696810ff84751f89ddbfe391151ea3490c876df
9,messenger_upload_download,rep_01,rtv03_calcium_bottle_05,calcium_bottle,14405,data/raw/mini_cure_or/test/14405.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8585.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14405.jpg,5dcb3a5deeb90637370ffc592dd09268fc38a838c08188720a9f9049d307e5c5,5dcb3a5deeb90637370ffc592dd09268fc38a838c08188720a9f9049d307e5c5
10,messenger_upload_download,rep_01,rtv03_calcium_bottle_06,calcium_bottle,14978,data/raw/mini_cure_or/test/14978.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8586.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14978.jpg,1b1c3c1ff1d53a54cdca8103188c95c82cdefbc9eaeefa9e11dbb680bc531563,1b1c3c1ff1d53a54cdca8103188c95c82cdefbc9eaeefa9e11dbb680bc531563
11,messenger_upload_download,rep_01,rtv03_calcium_bottle_07,calcium_bottle,15012,data/raw/mini_cure_or/test/15012.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8587.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15012.jpg,318ae15c8dfe285fe39f860ffe355ba8e1ca41fbe4b9c6a391dcd66c0ac8b946,318ae15c8dfe285fe39f860ffe355ba8e1ca41fbe4b9c6a391dcd66c0ac8b946
12,messenger_upload_download,rep_01,rtv03_calcium_bottle_08,calcium_bottle,15207,data/raw/mini_cure_or/test/15207.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8588.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15207.jpg,81bb684c59befb84be084699077bb2dd5f8ba41f1a64fc3d6ab0676ab3b16873,81bb684c59befb84be084699077bb2dd5f8ba41f1a64fc3d6ab0676ab3b16873
13,messenger_upload_download,rep_01,rtv03_calcium_bottle_09,calcium_bottle,15222,data/raw/mini_cure_or/test/15222.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8589.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15222.jpg,b2e0035f2ab225fec12947ba66d2ff3eb685d0bdffd369443b3c1d1cce8a0ce9,b2e0035f2ab225fec12947ba66d2ff3eb685d0bdffd369443b3c1d1cce8a0ce9
14,messenger_upload_download,rep_01,rtv03_calcium_bottle_10,calcium_bottle,15381,data/raw/mini_cure_or/test/15381.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8590.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15381.jpg,d06f1b4ccfc9fbbac4acf05ececc0d80db650513be7000a01620c2c4e3c10920,d06f1b4ccfc9fbbac4acf05ececc0d80db650513be7000a01620c2c4e3c10920
15,messenger_upload_download,rep_01,rtv03_canon_camera_04,canon_camera,13124,data/raw/mini_cure_or/test/13124.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8591.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13124.jpg,364e3bb6c43ba1646de7c47b8e5a60a853bf65bd1b0102312905f576fb266a63,364e3bb6c43ba1646de7c47b8e5a60a853bf65bd1b0102312905f576fb266a63
16,messenger_upload_download,rep_01,rtv03_canon_camera_05,canon_camera,13641,data/raw/mini_cure_or/test/13641.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8592.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13641.jpg,acb8cd295827d6d3a4fe225c21070c4ef62f49d1f1319d5f5ad1027096718a65,acb8cd295827d6d3a4fe225c21070c4ef62f49d1f1319d5f5ad1027096718a65
17,messenger_upload_download,rep_01,rtv03_canon_camera_06,canon_camera,13924,data/raw/mini_cure_or/test/13924.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8593.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13924.jpg,65d78497956b59d0792c27fedb6d1af2fda0ac8b2dd82e3dd819a8979ee52678,65d78497956b59d0792c27fedb6d1af2fda0ac8b2dd82e3dd819a8979ee52678
18,messenger_upload_download,rep_01,rtv03_canon_camera_07,canon_camera,14484,data/raw/mini_cure_or/test/14484.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8594.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14484.jpg,6e31e29f445537fa5d206d256f7edf3667be9488e22ed0edc4ed0593c99bfead,6e31e29f445537fa5d206d256f7edf3667be9488e22ed0edc4ed0593c99bfead
19,messenger_upload_download,rep_01,rtv03_canon_camera_08,canon_camera,15716,data/raw/mini_cure_or/test/15716.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8595.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15716.jpg,060f2de47ec35851f692278e3970d3f8f649777bfb3be3aeefd6b42f4f7f8c58,060f2de47ec35851f692278e3970d3f8f649777bfb3be3aeefd6b42f4f7f8c58
20,messenger_upload_download,rep_01,rtv03_canon_camera_09,canon_camera,16451,data/raw/mini_cure_or/test/16451.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8596.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/16451.jpg,cd4d0602c53eaa08e448eb4d40b72f7b7cc90f51bce289c14f810ee940c299e1,cd4d0602c53eaa08e448eb4d40b72f7b7cc90f51bce289c14f810ee940c299e1
21,messenger_upload_download,rep_01,rtv03_canon_camera_10,canon_camera,16481,data/raw/mini_cure_or/test/16481.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8597.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/16481.jpg,a6422319bb868b3bb448ac83098fbce59bd61c26fe3dd85fb7129520546d39d4,a6422319bb868b3bb448ac83098fbce59bd61c26fe3dd85fb7129520546d39d4
22,messenger_upload_download,rep_01,rtv03_dymo_label_maker_04,dymo_label_maker,12706,data/raw/mini_cure_or/test/12706.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8598.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12706.jpg,c076dd4dcccb9e7aca04716cbd8349446df43c3e433092b997d1a3764a3bc546,c076dd4dcccb9e7aca04716cbd8349446df43c3e433092b997d1a3764a3bc546
23,messenger_upload_download,rep_01,rtv03_dymo_label_maker_05,dymo_label_maker,13291,data/raw/mini_cure_or/test/13291.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8599.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13291.jpg,65ce11e6492ca66cda4b05879db7f2b1e56b1dd6a8833565c9b9786f2dbc58f6,65ce11e6492ca66cda4b05879db7f2b1e56b1dd6a8833565c9b9786f2dbc58f6
24,messenger_upload_download,rep_01,rtv03_dymo_label_maker_06,dymo_label_maker,13725,data/raw/mini_cure_or/test/13725.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8600.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13725.jpg,997083827dae6fc77b2aa2f6e7521dc1f9f4fe2aab61ccd4ff902b04503b9218,997083827dae6fc77b2aa2f6e7521dc1f9f4fe2aab61ccd4ff902b04503b9218
25,messenger_upload_download,rep_01,rtv03_dymo_label_maker_07,dymo_label_maker,14754,data/raw/mini_cure_or/test/14754.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8601.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14754.jpg,7ff36f6735be9d9937b9832013abe8d1a42d33752cdf7b315eae83af69914bdc,7ff36f6735be9d9937b9832013abe8d1a42d33752cdf7b315eae83af69914bdc
26,messenger_upload_download,rep_01,rtv03_dymo_label_maker_08,dymo_label_maker,14836,data/raw/mini_cure_or/test/14836.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8602.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14836.jpg,3036dc260c47041f2fd938e309e20b8dcfd75648b9118bdfde80463d6221d8dd,3036dc260c47041f2fd938e309e20b8dcfd75648b9118bdfde80463d6221d8dd
27,messenger_upload_download,rep_01,rtv03_dymo_label_maker_09,dymo_label_maker,15150,data/raw/mini_cure_or/test/15150.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8603.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15150.jpg,d368a578b0d64cf3dedfd1c24eec94e733ab64ed780ed53dd1e39ee254183aa1,d368a578b0d64cf3dedfd1c24eec94e733ab64ed780ed53dd1e39ee254183aa1
