source_path,output_path,recipe,severity,app_or_pipeline,label,capture_device,capture_date,repeat_id,pipeline_variant,source_selection_id,notes
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/10183.jpg,messenger_upload_download,real,Messenger upload/download,baseball,iPhone 15 Pro,,rep_01,WhatsApp,rtv03_baseball_01,WhatsApp upload/download; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/10183.jpg,messenger_upload_download,real,Messenger upload/download,baseball,iPhone 15 Pro,,rep_02,WhatsApp,rtv03_baseball_01,WhatsApp upload/download; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_01/10183.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,iPhone 15 Pro,,rep_01,iPhone screenshot/resave,rtv03_baseball_01,Phone screenshot/resave; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/phone_screenshot_resave/rep_02/10183.jpg,phone_screenshot_resave,real,Phone screenshot/resave,baseball,iPhone 15 Pro,,rep_02,iPhone screenshot/resave,rtv03_baseball_01,Phone screenshot/resave; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_01/10183.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,iPhone 15 Pro,,rep_01,FaceTime,rtv03_baseball_01,FaceTime video-call/frame capture; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/video_call_frame_capture/rep_02/10183.jpg,video_call_frame_capture,real,Video-call or screen-share frame capture,baseball,iPhone 15 Pro,,rep_02,FaceTime,rtv03_baseball_01,FaceTime video-call/frame capture; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/social_app_resave/rep_01/10183.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,iPhone 15 Pro,,rep_01,Instagram,rtv03_baseball_01,Instagram upload/preview/resave; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/10183.jpg,data/real_transfer/v03/images/social_app_resave/rep_02/10183.jpg,social_app_resave,real,Social-app upload/preview/resave,baseball,iPhone 15 Pro,,rep_02,Instagram,rtv03_baseball_01,Instagram upload/preview/resave; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/11059.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_01/11059.jpg,messenger_upload_download,real,Messenger upload/download,baseball,iPhone 15 Pro,,rep_01,WhatsApp,rtv03_baseball_02,WhatsApp upload/download; collector reported iPhone 15 Pro.
data/raw/mini_cure_or/test/11059.jpg,data/real_transfer/v03/images/messenger_upload_download/rep_02/11059.jpg,messenger_upload_download,real,Messenger upload/download,baseball,iPhone 15 Pro,,rep_02,WhatsApp,rtv03_baseball_02,WhatsApp upload/download; collector reported iPhone 15 Pro.
