selection_id,label,image_path,object_id,image_id,background,perspective,split,challenge_type,challenge_level
rtv03_baseball_01,baseball,data/raw/mini_cure_or/test/10183.jpg,3,10183,1,3,test,1,0
rtv03_baseball_02,baseball,data/raw/mini_cure_or/test/11059.jpg,3,11059,2,2,test,1,0
rtv03_baseball_04,baseball,data/raw/mini_cure_or/test/11677.jpg,3,11677,1,5,test,1,0
rtv03_calcium_bottle_01,calcium_bottle,data/raw/mini_cure_or/test/11247.jpg,9,11247,2,3,test,1,0
rtv03_calcium_bottle_02,calcium_bottle,data/raw/mini_cure_or/test/12815.jpg,9,12815,1,5,test,1,0
rtv03_calcium_bottle_03,calcium_bottle,data/raw/mini_cure_or/test/13506.jpg,9,13506,2,2,test,1,0
rtv03_canon_camera_01,canon_camera,data/raw/mini_cure_or/test/10243.jpg,1,10243,1,2,test,1,0
rtv03_canon_camera_02,canon_camera,data/raw/mini_cure_or/test/10530.jpg,1,10530,2,4,test,1,0
rtv03_canon_camera_03,canon_camera,data/raw/mini_cure_or/test/12528.jpg,1,12528,2,3,test,1,0
rtv03_dymo_label_maker_01,dymo_label_maker,data/raw/mini_cure_or/test/09958.jpg,8,9958,1,3,test,1,0
rtv03_dymo_label_maker_02,dymo_label_maker,data/raw/mini_cure_or/test/11887.jpg,8,11887,1,4,test,1,0
rtv03_dymo_label_maker_03,dymo_label_maker,data/raw/mini_cure_or/test/12043.jpg,8,12043,2,1,test,1,0
rtv03_hair_brush_01,hair_brush,data/raw/mini_cure_or/test/11335.jpg,7,11335,2,4,test,1,0
rtv03_hair_brush_03,hair_brush,data/raw/mini_cure_or/test/13315.jpg,7,13315,1,1,test,1,0
rtv03_hair_brush_04,hair_brush,data/raw/mini_cure_or/test/13712.jpg,7,13712,1,3,test,1,0
rtv03_lg_cell_phone_01,lg_cell_phone,data/raw/mini_cure_or/test/09904.jpg,6,9904,2,3,test,1,0
rtv03_lg_cell_phone_02,lg_cell_phone,data/raw/mini_cure_or/test/11101.jpg,6,11101,1,1,test,1,0
rtv03_lg_cell_phone_04,lg_cell_phone,data/raw/mini_cure_or/test/11758.jpg,6,11758,2,2,test,1,0
rtv03_pan_01,pan,data/raw/mini_cure_or/test/10714.jpg,4,10714,1,2,test,1,0
rtv03_pan_02,pan,data/raw/mini_cure_or/test/11285.jpg,4,11285,2,4,test,1,0
rtv03_pan_03,pan,data/raw/mini_cure_or/test/11460.jpg,4,11460,1,5,test,1,0
rtv03_shoes_01,shoes,data/raw/mini_cure_or/test/10640.jpg,10,10640,1,2,test,1,0
rtv03_shoes_03,shoes,data/raw/mini_cure_or/test/11446.jpg,10,11446,1,3,test,1,0
rtv03_shoes_06,shoes,data/raw/mini_cure_or/test/13252.jpg,10,13252,2,1,test,1,0
rtv03_toy_01,toy,data/raw/mini_cure_or/test/11716.jpg,5,11716,1,3,test,1,0
rtv03_toy_02,toy,data/raw/mini_cure_or/test/11735.jpg,5,11735,1,2,test,1,0
rtv03_toy_03,toy,data/raw/mini_cure_or/test/12027.jpg,5,12027,2,1,test,1,0
rtv03_training_marker_cone_01,training_marker_cone,data/raw/mini_cure_or/test/10457.jpg,2,10457,2,1,test,1,0
rtv03_training_marker_cone_02,training_marker_cone,data/raw/mini_cure_or/test/11437.jpg,2,11437,1,2,test,1,0
rtv03_training_marker_cone_03,training_marker_cone,data/raw/mini_cure_or/test/11747.jpg,2,11747,1,4,test,1,0
