model_name,model_slug,pipeline,pipeline_name,matched_clean_n,matched_clean_accuracy,matched_clean_accuracy_ci_low,matched_clean_accuracy_ci_high,matched_clean_mean_confidence,real_n,real_accuracy,real_accuracy_ci_low,real_accuracy_ci_high,real_mean_confidence,accuracy_drop_vs_matched_clean,accuracy_drop_ci_low,accuracy_drop_ci_high,confidence_shift_vs_matched_clean,source_pipeline_pair_count,both_repeats_correct_rate,any_repeat_correct_rate,repeat_prediction_agreement_rate
CLIP ViT-B/16,clip_vit_b16,messenger_upload_download,Messenger upload/download,30,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8113970652222633,60,0.8333333333333334,0.7,0.9666666666666667,0.811120464404424,0.033333333333333326,0.0,0.10000000000000009,-0.000276600817839312,30,0.8333333333333334,0.8333333333333334,1.0
CLIP ViT-B/16,clip_vit_b16,phone_screenshot_resave,Phone screenshot/resave,30,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8113970652222633,60,0.8833333333333333,0.7666666666666667,0.9666666666666667,0.8366602351268132,-0.016666666666666607,-0.06708333333333329,0.033333333333333326,0.02526316990454991,30,0.8333333333333334,0.9333333333333333,0.9
CLIP ViT-B/16,clip_vit_b16,video_call_frame_capture,Video-call frame capture,30,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8113970652222633,60,0.8333333333333334,0.7166666666666667,0.9333333333333333,0.8055351456006368,0.033333333333333326,-0.08333333333333326,0.15000000000000002,-0.005861919621626521,30,0.7666666666666667,0.9,0.8333333333333334
CLIP ViT-B/32,clip_vit_b32,messenger_upload_download,Messenger upload/download,30,0.7,0.5333333333333333,0.8666666666666667,0.8335951199134191,60,0.7,0.5333333333333333,0.8666666666666667,0.8282036438584328,0.0,0.0,0.0,-0.005391476054986244,30,0.7,0.7,1.0
CLIP ViT-B/32,clip_vit_b32,phone_screenshot_resave,Phone screenshot/resave,30,0.7,0.5333333333333333,0.8666666666666667,0.8335951199134191,60,0.7166666666666667,0.55,0.8666666666666667,0.8259330903490384,-0.01666666666666672,-0.09999999999999998,0.04999999999999993,-0.007662029564380668,30,0.7,0.7333333333333333,0.9666666666666667
CLIP ViT-B/32,clip_vit_b32,video_call_frame_capture,Video-call frame capture,30,0.7,0.5333333333333333,0.8666666666666667,0.8335951199134191,60,0.7333333333333333,0.5666666666666667,0.8833333333333333,0.7741321980953216,-0.033333333333333326,-0.1166666666666667,0.033333333333333326,-0.059462921818097425,30,0.7,0.7666666666666667,0.8666666666666667
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,messenger_upload_download,Messenger upload/download,30,0.8,0.6333333333333333,0.9333333333333333,0.8825227955977122,60,0.8,0.6333333333333333,0.9333333333333333,0.886667650192976,0.0,0.0,0.0,0.004144854595263814,30,0.8,0.8,1.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,phone_screenshot_resave,Phone screenshot/resave,30,0.8,0.6666666666666666,0.9333333333333333,0.8825227955977122,60,0.8333333333333334,0.7,0.9666666666666667,0.8884814927975336,-0.033333333333333326,-0.10000000000000009,0.0,0.00595869719982145,30,0.8333333333333334,0.8333333333333334,1.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,video_call_frame_capture,Video-call frame capture,30,0.8,0.6666666666666666,0.9333333333333333,0.8825227955977122,60,0.7666666666666667,0.6166666666666667,0.9,0.8716525360941887,0.033333333333333326,-0.033333333333333326,0.1166666666666667,-0.010870259503523494,30,0.7333333333333333,0.8,0.9
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,messenger_upload_download,Messenger upload/download,30,0.9,0.7666666666666667,1.0,0.9135196894407273,60,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8965974594155948,0.033333333333333326,0.0,0.09999999999999998,-0.01692223002513249,30,0.8666666666666667,0.8666666666666667,1.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,phone_screenshot_resave,Phone screenshot/resave,30,0.9,0.7666666666666667,1.0,0.9135196894407273,60,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.9209918722510337,0.033333333333333326,0.0,0.09999999999999998,0.0074721828103064825,30,0.8666666666666667,0.8666666666666667,0.9666666666666667
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,video_call_frame_capture,Video-call frame capture,30,0.9,0.799166666666667,1.0,0.9135196894407273,60,0.85,0.7166666666666667,0.9666666666666667,0.8953249265750249,0.050000000000000044,0.0,0.1333333333333333,-0.01819476286570232,30,0.8333333333333334,0.8666666666666667,0.9666666666666667
