model_name,model_slug,pipeline,pipeline_name,matched_clean_n,matched_clean_accuracy,matched_clean_accuracy_ci_low,matched_clean_accuracy_ci_high,matched_clean_mean_confidence,real_n,real_accuracy,real_accuracy_ci_low,real_accuracy_ci_high,real_mean_confidence,accuracy_drop_vs_matched_clean,accuracy_drop_ci_low,accuracy_drop_ci_high,confidence_shift_vs_matched_clean,source_pipeline_pair_count,both_repeats_correct_rate,any_repeat_correct_rate,repeat_prediction_agreement_rate
CLIP ViT-B/16,clip_vit_b16,messenger_upload_download,Messenger upload/download,100,0.9,0.84,0.95,0.8785907267034054,200,0.89,0.83,0.94,0.876731706559658,0.010000000000000009,0.0,0.030000000000000027,-0.0018590201437473919,100,0.89,0.89,1.0
CLIP ViT-B/16,clip_vit_b16,phone_screenshot_resave,Phone screenshot/resave,100,0.9,0.84,0.95,0.8785907267034054,200,0.9,0.84,0.95,0.8808023233711719,0.0,-0.020000000000000018,0.020000000000000018,0.002211596667766491,100,0.88,0.92,0.96
CLIP ViT-B/16,clip_vit_b16,video_call_frame_capture,Video-call frame capture,100,0.9,0.84,0.96,0.8785907267034054,200,0.855,0.785,0.92,0.8443240533024072,0.04500000000000004,-0.0050000000000000044,0.09999999999999998,-0.034266673400998204,100,0.83,0.88,0.94
CLIP ViT-B/16,clip_vit_b16,social_app_resave,Instagram social-app resave,100,0.9,0.84,0.95,0.8785907267034054,200,0.89,0.83,0.95,0.8784591041505336,0.010000000000000009,0.0,0.030000000000000027,-0.0001316225528718018,100,0.89,0.89,1.0
CLIP ViT-B/32,clip_vit_b32,messenger_upload_download,Messenger upload/download,100,0.79,0.71,0.87,0.8519862183928489,200,0.79,0.71,0.87,0.8503126214444637,0.0,0.0,0.0,-0.0016735969483852031,100,0.79,0.79,1.0
CLIP ViT-B/32,clip_vit_b32,phone_screenshot_resave,Phone screenshot/resave,100,0.79,0.71,0.86,0.8519862183928489,200,0.79,0.71,0.865,0.8409752058982849,0.0,-0.03500000000000003,0.03500000000000003,-0.011011012494564043,100,0.78,0.8,0.97
CLIP ViT-B/32,clip_vit_b32,video_call_frame_capture,Video-call frame capture,100,0.79,0.71,0.87,0.8519862183928489,200,0.79,0.71,0.865,0.801766662672162,0.0,-0.06499999999999995,0.06499999999999995,-0.050219555720686926,100,0.78,0.8,0.95
CLIP ViT-B/32,clip_vit_b32,social_app_resave,Instagram social-app resave,100,0.79,0.7,0.87,0.8519862183928489,200,0.78,0.69,0.86,0.8519357484579086,0.010000000000000009,0.0,0.030000000000000027,-5.0469934940289285e-05,100,0.78,0.78,1.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,messenger_upload_download,Messenger upload/download,100,0.85,0.78,0.92,0.8929690688848495,200,0.87,0.8,0.93,0.8930546534806489,-0.020000000000000018,-0.06000000000000005,0.020000000000000018,8.558459579943722e-05,100,0.87,0.87,0.99
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,phone_screenshot_resave,Phone screenshot/resave,100,0.85,0.78,0.92,0.8929690688848495,200,0.885,0.82,0.94,0.9004513995349407,-0.03500000000000003,-0.07000000000000006,-0.0050000000000000044,0.007482330650091185,100,0.88,0.89,0.98
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,video_call_frame_capture,Video-call frame capture,100,0.85,0.77,0.92,0.8929690688848495,200,0.825,0.75,0.89,0.8864677892625332,0.025000000000000022,-0.015000000000000013,0.06999999999999995,-0.0065012796223162805,100,0.79,0.86,0.91
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,social_app_resave,Instagram social-app resave,100,0.85,0.78,0.92,0.8929690688848495,200,0.86,0.79,0.93,0.8896555930376053,-0.010000000000000009,-0.050000000000000044,0.030000000000000027,-0.003313475847244174,100,0.86,0.86,1.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,messenger_upload_download,Messenger upload/download,100,0.94,0.89,0.98,0.9142566218972206,200,0.89,0.82,0.95,0.9016013194620609,0.04999999999999993,0.010000000000000009,0.09999999999999998,-0.012655302435159665,100,0.89,0.89,1.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,phone_screenshot_resave,Phone screenshot/resave,100,0.94,0.89,0.98,0.9142566218972206,200,0.9,0.845,0.95,0.9130140841007233,0.039999999999999925,0.0050000000000000044,0.07999999999999996,-0.0012425377964973006,100,0.87,0.93,0.93
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,video_call_frame_capture,Video-call frame capture,100,0.94,0.89,0.98,0.9142566218972206,200,0.83,0.755,0.895,0.8957738813757896,0.10999999999999999,0.05500000000000005,0.16999999999999993,-0.01848274052143095,100,0.81,0.85,0.96
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,social_app_resave,Instagram social-app resave,100,0.94,0.89,0.98,0.9142566218972206,200,0.89,0.83,0.95,0.9050627282261848,0.04999999999999993,0.010000000000000009,0.09999999999999998,-0.009193893671035736,100,0.89,0.89,1.0
