slug,model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,lg_cell_phone,10,0.8,80,0.75,0.0,0.05
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,calcium_bottle,10,0.8,80,0.85,0.0,-0.05
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,canon_camera,10,1.0,80,0.975,0.0,0.025
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,baseball,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,dymo_label_maker,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,hair_brush,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,pan,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,shoes,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,toy,10,1.0,80,1.0,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,training_marker_cone,10,1.0,80,1.0,0.0,0.0
