family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,500,0.444,0.5248231267482042,0.0
native_cure_or,native_challenge_type_02,level_1,500,0.442,0.5265371632426977,0.0020000000000000018
native_cure_or,native_challenge_type_02,level_2,500,0.434,0.5253144607394934,0.010000000000000009
native_cure_or,native_challenge_type_02,level_3,500,0.442,0.5249632430970669,0.0020000000000000018
native_cure_or,native_challenge_type_02,level_4,500,0.424,0.5294322046637535,0.020000000000000018
native_cure_or,native_challenge_type_05,level_1,500,0.178,0.2815292625427246,0.266
native_cure_or,native_challenge_type_05,level_2,500,0.072,0.18739680069684983,0.372
native_cure_or,native_challenge_type_05,level_3,500,0.04,0.14999143588542937,0.404
native_cure_or,native_challenge_type_05,level_4,500,0.02,0.15963073471188546,0.424
native_cure_or,native_challenge_type_09,level_1,500,0.264,0.3998977523595095,0.18
native_cure_or,native_challenge_type_09,level_2,500,0.188,0.3095540146306157,0.256
native_cure_or,native_challenge_type_09,level_3,500,0.098,0.22027599838376044,0.346
native_cure_or,native_challenge_type_09,level_4,500,0.034,0.15541592290997505,0.41000000000000003
native_cure_or,native_challenge_type_14,level_1,500,0.08,0.18569779816269874,0.364
native_cure_or,native_challenge_type_14,level_2,500,0.01,0.11638283924013376,0.434
native_cure_or,native_challenge_type_14,level_3,500,0.01,0.13472759478539229,0.434
native_cure_or,native_challenge_type_14,level_4,500,0.012,0.12347936835885048,0.432
native_cure_or,native_challenge_type_18,level_1,500,0.122,0.32343510426580907,0.322
native_cure_or,native_challenge_type_18,level_2,500,0.072,0.2563118871003389,0.372
native_cure_or,native_challenge_type_18,level_3,500,0.046,0.20117477336525916,0.398
native_cure_or,native_challenge_type_18,level_4,500,0.016,0.207903457775712,0.428
