family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
classic,blur_classic,high,250,0.8,0.848834152162075,0.11599999999999999
classic,blur_classic,low,250,0.896,0.8942523399591445,0.020000000000000018
classic,blur_classic,mid,250,0.876,0.8782565314769745,0.040000000000000036
classic,jpeg_classic,high,250,0.88,0.8815902460813523,0.03600000000000003
classic,jpeg_classic,low,250,0.92,0.9014128036499024,-0.0040000000000000036
classic,jpeg_classic,mid,250,0.908,0.8966975908279419,0.008000000000000007
classic,resize_roundtrip,high,250,0.888,0.8796125960350036,0.028000000000000025
classic,resize_roundtrip,low,250,0.916,0.8971210685968399,0.0
classic,resize_roundtrip,mid,250,0.912,0.8932663069963456,0.0040000000000000036
clean,clean,clean,250,0.916,0.9001532492041587,0.0
modern_transfer,dirty_lens_recompress,high,250,0.884,0.8885535719394684,0.03200000000000003
modern_transfer,dirty_lens_recompress,low,250,0.928,0.8981837812662125,-0.01200000000000001
modern_transfer,dirty_lens_recompress,mid,250,0.92,0.896790183544159,-0.0040000000000000036
modern_transfer,low_light_upload,high,250,0.756,0.8136368151903153,0.16000000000000003
modern_transfer,low_light_upload,low,250,0.896,0.8656065367460251,0.020000000000000018
modern_transfer,low_light_upload,mid,250,0.816,0.8555867382287979,0.10000000000000009
modern_transfer,messenger_chain,high,250,0.9,0.8930103393793106,0.016000000000000014
modern_transfer,messenger_chain,low,250,0.932,0.9014893091917038,-0.016000000000000014
modern_transfer,messenger_chain,mid,250,0.92,0.9008078523278237,-0.0040000000000000036
modern_transfer,restoration_artifact,high,250,0.872,0.8832282692790031,0.04400000000000004
modern_transfer,restoration_artifact,low,250,0.908,0.8939363672733307,0.008000000000000007
modern_transfer,restoration_artifact,mid,250,0.924,0.8896986328959465,-0.008000000000000007
modern_transfer,screenshot_chain,high,250,0.888,0.8903703918457031,0.028000000000000025
modern_transfer,screenshot_chain,low,250,0.924,0.8975259833931923,-0.008000000000000007
modern_transfer,screenshot_chain,mid,250,0.908,0.9007109243869782,0.008000000000000007
modern_transfer,video_call_frame,high,250,0.848,0.867692733824253,0.06800000000000006
modern_transfer,video_call_frame,low,250,0.92,0.8927946155071258,-0.0040000000000000036
modern_transfer,video_call_frame,mid,250,0.892,0.8758153171539307,0.02400000000000002
