model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,100,0.71,0.8063394099473953,0.79,0.8518817180395126,0.08000000000000007,0.045542308092117345,29,0.8976745307445526,0.582725838340562,0.18
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,100,0.79,0.8537436187267303,0.79,0.8518817180395126,0.0,-0.001861900687217699,21,0.912573414890072,0.6324315283979688,0.16
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,100,0.76,0.8422755941748619,0.79,0.8518817180395126,0.030000000000000027,0.009606123864650762,24,0.9156986255394785,0.6097693281869093,0.16
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,100,0.78,0.8280988827347755,0.79,0.8518817180395126,0.010000000000000009,0.023782835304737127,22,0.9271803807753783,0.47680993513627484,0.07
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,low,100,0.78,0.8438149446249008,0.79,0.8518817180395126,0.010000000000000009,0.008066773414611816,22,0.9273898360820917,0.5475039658221331,0.12
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,100,0.8,0.8435629114508629,0.79,0.8518817180395126,-0.010000000000000009,0.008318806588649696,20,0.9154473565518856,0.556025131046772,0.1
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,100,0.77,0.8416867953538895,0.79,0.8518817180395126,0.020000000000000018,0.010194922685623165,23,0.9079004917051885,0.6200148553951926,0.16
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,100,0.79,0.8517699927091599,0.79,0.8518817180395126,0.0,0.00011172533035275212,21,0.9117064811760867,0.6262946313335782,0.16
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,100,0.78,0.8476080632209778,0.79,0.8518817180395126,0.010000000000000009,0.004273654818534811,22,0.9121056004212453,0.6189349767836657,0.15
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,100,0.79,0.8518817180395126,0.79,0.8518817180395126,0.0,0.0,21,0.9142889840693413,0.6171115267844427,0.16
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,100,0.77,0.8424811398983002,0.79,0.8518817180395126,0.020000000000000018,0.009400578141212423,23,0.926721686666662,0.5604584398476974,0.13
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,100,0.78,0.8491104660928249,0.79,0.8518817180395126,0.010000000000000009,0.002771251946687703,22,0.9290889979172976,0.5655502168969675,0.1
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,100,0.81,0.8439469292759896,0.79,0.8518817180395126,-0.020000000000000018,0.007934788763523049,19,0.917322720642443,0.5311343450295297,0.08
