model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,1,native_challenge_type_05,0.01,0.3,0.3729187124967575
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,2,native_challenge_type_09,0.01,0.3,0.44137458369135857
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,3,native_challenge_type_14,0.01,0.3,0.42362634614109995
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,4,native_challenge_type_18,0.01,0.3,0.6414949950575829
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,5,native_challenge_type_02,0.27,0.03999999999999998,0.5253942289948463
CLIP ViT-B/16,clip_vit_b16,1,native_challenge_type_09,0.0,0.39,0.10986168846488
CLIP ViT-B/16,clip_vit_b16,2,native_challenge_type_18,0.0,0.39,0.12327366016805172
CLIP ViT-B/16,clip_vit_b16,3,native_challenge_type_14,0.01,0.38,0.11085144855082035
CLIP ViT-B/16,clip_vit_b16,4,native_challenge_type_05,0.02,0.37,0.18575823739171027
CLIP ViT-B/16,clip_vit_b16,5,native_challenge_type_02,0.36,0.030000000000000027,0.46545144699513913
