model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,calibration_gap,abs_calibration_gap,ece,brier_top1,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_n,high_conf_wrong_rate,wrong_high_conf_share,cells
CLIP ViT-B/16,clip_vit_b16,clean,clean,clean,500,0.444,0.5248231267482042,0.444,0.5248231267482042,0.0,0.0,0.08082312674820419,0.08082312674820419,0.08082312674820424,0.17406355949610616,278,0.7023465577345174,0.38305981135625633,67,0.134,0.24100719424460432,1
CLIP ViT-B/16,clip_vit_b16,native_cure_or,all,level_1,7999,0.27715964495561946,0.39687786596870406,0.444,0.5248231267482042,0.16684035504438055,0.12794526077950014,0.1197182210130846,0.1197182210130846,0.11971822101308459,0.14598027119863885,5782,0.6492177440365209,0.30012284872962586,809,0.10113764220527566,0.1399169837426496,16
CLIP ViT-B/16,clip_vit_b16,native_cure_or,all,level_2,8000,0.2245,0.35303828011639415,0.444,0.5248231267482042,0.2195,0.17178484663181004,0.12853828011639415,0.12853828011639415,0.12853828011639418,0.13050559824827415,6204,0.6287291482928933,0.2732283511600769,652,0.0815,0.10509348807221147,16
CLIP ViT-B/16,clip_vit_b16,native_cure_or,all,level_3,8000,0.192125,0.32341865754080934,0.444,0.5248231267482042,0.251875,0.20140446920739485,0.13129365754080935,0.13129365754080935,0.13129365754080935,0.11795575244831502,6463,0.6169291883610097,0.25361737549367214,546,0.06825,0.08448089122698438,16
CLIP ViT-B/16,clip_vit_b16,native_cure_or,all,level_4,8000,0.159625,0.30544340356998145,0.444,0.5248231267482042,0.28437500000000004,0.21937972317822274,0.14581840356998146,0.14581840356998146,0.14581840356998146,0.10966587304263693,6723,0.6141472312861713,0.24680666580505886,529,0.066125,0.07868511081362486,16
CLIP ViT-B/16,clip_vit_b16,native_cure_or,all,level_5,7000,0.09942857142857142,0.2609995053043323,0.444,0.5248231267482042,0.3445714285714286,0.2638236214438719,0.16157093387576088,0.16157093387576088,0.16157093387576088,0.09254148585147216,6304,0.5610361906924638,0.22787362760285076,307,0.04385714285714286,0.0486992385786802,14
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,clean,clean,clean,500,0.412,0.664758232563734,0.412,0.664758232563734,0.0,0.0,0.25275823256373403,0.25275823256373403,0.2527582325637341,0.23681517038576883,294,0.823544719699517,0.5534996735502262,166,0.332,0.564625850340136,1
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,all,level_1,7999,0.2472809101137642,0.5858651321641668,0.412,0.664758232563734,0.16471908988623576,0.0788931003995672,0.3385842220504026,0.3385842220504026,0.3385842220504025,0.25920899215775806,6021,0.7977288286036862,0.5162643363565984,2835,0.3544193024128016,0.47085201793721976,16
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,all,level_2,8000,0.2,0.553786356981378,0.412,0.664758232563734,0.21199999999999997,0.110971875582356,0.353786356981378,0.353786356981378,0.35378635698137806,0.2556148851735969,6400,0.7739826275967061,0.498737289327546,2866,0.35825,0.4478125,16
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,all,level_3,8000,0.165875,0.5345223830323667,0.412,0.664758232563734,0.24612499999999998,0.13023584953136735,0.36864738303236666,0.36864738303236666,0.3686473830323666,0.2538797445761575,6673,0.769812568022779,0.48773232226775143,2880,0.36,0.4315899895099655,16
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,all,level_4,8000,0.14,0.5259219530769624,0.412,0.664758232563734,0.27199999999999996,0.13883627948677157,0.3859219530769624,0.3859219530769624,0.38592195307696237,0.25916409015634106,6880,0.764015146843823,0.48716259595212463,3022,0.37775,0.4392441860465116,16
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,all,level_5,7000,0.089,0.4781107888892293,0.412,0.664758232563734,0.32299999999999995,0.1866474436745047,0.38911078888922934,0.38911078888922934,0.38911078888922934,0.23791129377730494,6377,0.7055304707483916,0.4558930592674231,2199,0.31414285714285717,0.3448329935706445,14
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,clean,clean,clean,500,0.546,0.7046413803547621,0.546,0.7046413803547621,0.0,0.0,0.15864138035476205,0.15864138035476205,0.15864138035476208,0.18430060936605794,227,0.850629312542332,0.5290699905432793,104,0.208,0.4581497797356828,1
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,native_cure_or,all,level_1,7999,0.3620452556569571,0.5854656227870961,0.546,0.7046413803547621,0.18395474434304293,0.11917575756766596,0.22342036713013902,0.22342036713013902,0.22357742954196894,0.19557931770176337,5103,0.812734075706164,0.45648866028393714,1854,0.23177897237154643,0.36331569664902996,16
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,native_cure_or,all,level_2,8000,0.295125,0.5460532088493928,0.546,0.7046413803547621,0.250875,0.1585881715053693,0.25092820884939276,0.25092820884939276,0.2509282088493928,0.19710794188888034,5639,0.7972017010040376,0.44089953089636635,1875,0.234375,0.33250576343323285,16
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,native_cure_or,all,level_3,8000,0.249,0.5250553094958886,0.546,0.7046413803547621,0.29700000000000004,0.17958607085887346,0.27605530949588863,0.27605530949588863,0.2760553094958887,0.2039815327892776,6008,0.7880143968306152,0.4378691407257862,2022,0.25275,0.33655126498002663,16
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,native_cure_or,all,level_4,8000,0.21525,0.5132067090091296,0.546,0.7046413803547621,0.33075000000000004,0.19143467134563252,0.29795670900912957,0.29795670900912957,0.29795670900912957,0.212842789356223,6278,0.7816436049267736,0.4395768372712858,2176,0.272,0.34660719974514176,16
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,native_cure_or,all,level_5,7000,0.14514285714285713,0.499672813671508,0.546,0.7046413803547621,0.4008571428571429,0.20496856668325408,0.3545299565286509,0.3545299565286509,0.3545299565286509,0.24139491093847704,5984,0.7533454967178698,0.456602719090107,2268,0.324,0.3790106951871658,14
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,500,0.35,0.4644233193844557,0.35,0.4644233193844557,0.0,0.0,0.11442331938445571,0.11442331938445571,0.11707480497658251,0.1682692892536572,325,0.6635813259226935,0.357184392786943,61,0.122,0.18769230769230769,1
CLIP ViT-B/32,clip_vit_b32,native_cure_or,all,level_1,7999,0.22202775346918366,0.3724488274077055,0.35,0.4644233193844557,0.12797224653081632,0.09197449197675017,0.15042107393852186,0.15042107393852186,0.15042107393852186,0.1485321253086941,6223,0.6022341994543534,0.30686971431838417,844,0.10551318914864358,0.13562590390486903,16
CLIP ViT-B/32,clip_vit_b32,native_cure_or,all,level_2,8000,0.1825,0.33207619608193634,0.35,0.4644233193844557,0.16749999999999998,0.13234712330251935,0.14957619608193634,0.14957619608193634,0.14957619608193637,0.13248941666035144,6540,0.5738544986621567,0.2781012233346701,641,0.080125,0.09801223241590214,16
CLIP ViT-B/32,clip_vit_b32,native_cure_or,all,level_3,8000,0.15275,0.3154281763490289,0.35,0.4644233193844557,0.19724999999999998,0.14899514303542677,0.16267817634902892,0.16267817634902892,0.16267817634902895,0.12503711349234545,6778,0.5588162487705045,0.27154794257814624,641,0.080125,0.09457066981410446,16
CLIP ViT-B/32,clip_vit_b32,native_cure_or,all,level_4,8000,0.124875,0.30513573306519537,0.35,0.4644233193844557,0.22512499999999996,0.15928758631926032,0.18026073306519536,0.18026073306519536,0.18026073306519538,0.1187505171581129,7001,0.5569129228606835,0.2692086637028625,636,0.0795,0.09084416511926868,16
CLIP ViT-B/32,clip_vit_b32,native_cure_or,all,level_5,7000,0.07414285714285715,0.27157344345003365,0.35,0.4644233193844557,0.2758571428571428,0.19284987593442204,0.1974305863071765,0.1974305863071765,0.19743058630717655,0.10465397480755612,6481,0.4898083041886833,0.25409714461908794,490,0.07,0.07560561641721956,14
