model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,1,native_challenge_type_18,0.008,0.40399999999999997,0.43401184254884717
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,2,native_challenge_type_14,0.01,0.40199999999999997,0.47190400791168213
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,3,native_challenge_type_16,0.012,0.39999999999999997,0.4332226766943932
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,4,native_challenge_type_05,0.014,0.39799999999999996,0.38856805564463137
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,5,native_challenge_type_09,0.014,0.39799999999999996,0.3431661440730095
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,6,native_challenge_type_07,0.048,0.364,0.5971568022072316
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,7,native_challenge_type_17,0.054,0.358,0.4560480214059353
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,8,native_challenge_type_13,0.066,0.346,0.4930267091169953
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,9,native_challenge_type_15,0.122,0.29,0.5575988046526908
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,10,native_challenge_type_08,0.124,0.288,0.46223203162848947
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,11,native_challenge_type_12,0.132,0.27999999999999997,0.531695443034172
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,12,native_challenge_type_04,0.146,0.266,0.44607244960218667
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,13,native_challenge_type_03,0.224,0.18799999999999997,0.5345226024687291
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,14,native_challenge_type_06,0.272,0.13999999999999996,0.5443254534602165
CLIP ViT-B/16,clip_vit_b16,1,native_challenge_type_09,0.01,0.434,0.09720764323323965
CLIP ViT-B/16,clip_vit_b16,2,native_challenge_type_18,0.01,0.434,0.2612917869091034
CLIP ViT-B/16,clip_vit_b16,3,native_challenge_type_14,0.014,0.43,0.12194767855852842
CLIP ViT-B/16,clip_vit_b16,4,native_challenge_type_05,0.02,0.424,0.13825806017220021
CLIP ViT-B/16,clip_vit_b16,5,native_challenge_type_16,0.024,0.42,0.24093687224388122
CLIP ViT-B/16,clip_vit_b16,6,native_challenge_type_17,0.072,0.372,0.2727589488178492
CLIP ViT-B/16,clip_vit_b16,7,native_challenge_type_13,0.074,0.37,0.31043176516890525
CLIP ViT-B/16,clip_vit_b16,8,native_challenge_type_07,0.08,0.364,0.32172975090146066
CLIP ViT-B/16,clip_vit_b16,9,native_challenge_type_12,0.132,0.312,0.2638157967552543
CLIP ViT-B/16,clip_vit_b16,10,native_challenge_type_15,0.152,0.29200000000000004,0.3402039598226547
CLIP ViT-B/16,clip_vit_b16,11,native_challenge_type_04,0.158,0.28600000000000003,0.3111028780713677
CLIP ViT-B/16,clip_vit_b16,12,native_challenge_type_08,0.188,0.256,0.2940233000069857
CLIP ViT-B/16,clip_vit_b16,13,native_challenge_type_03,0.19,0.254,0.2880705142840743
CLIP ViT-B/16,clip_vit_b16,14,native_challenge_type_06,0.268,0.176,0.3922141193151474
CLIP ViT-B/32,clip_vit_b32,1,native_challenge_type_09,0.006,0.344,0.1266228765398264
CLIP ViT-B/32,clip_vit_b32,2,native_challenge_type_14,0.01,0.33999999999999997,0.19634294831752777
CLIP ViT-B/32,clip_vit_b32,3,native_challenge_type_18,0.01,0.33999999999999997,0.418802252009511
CLIP ViT-B/32,clip_vit_b32,4,native_challenge_type_05,0.014,0.33599999999999997,0.2052462061420083
CLIP ViT-B/32,clip_vit_b32,5,native_challenge_type_16,0.016,0.33399999999999996,0.23510963858664036
CLIP ViT-B/32,clip_vit_b32,6,native_challenge_type_17,0.048,0.302,0.20328372918069362
CLIP ViT-B/32,clip_vit_b32,7,native_challenge_type_07,0.05,0.3,0.29243626157939434
CLIP ViT-B/32,clip_vit_b32,8,native_challenge_type_13,0.068,0.282,0.33274543936550616
CLIP ViT-B/32,clip_vit_b32,9,native_challenge_type_12,0.09,0.26,0.2951436529457569
CLIP ViT-B/32,clip_vit_b32,10,native_challenge_type_04,0.114,0.236,0.3103926691263914
CLIP ViT-B/32,clip_vit_b32,11,native_challenge_type_15,0.122,0.22799999999999998,0.3449710269495845
CLIP ViT-B/32,clip_vit_b32,12,native_challenge_type_08,0.126,0.22399999999999998,0.2321600257754326
CLIP ViT-B/32,clip_vit_b32,13,native_challenge_type_03,0.174,0.176,0.2620486635565758
CLIP ViT-B/32,clip_vit_b32,14,native_challenge_type_06,0.19,0.15999999999999998,0.3467228182256222
SigLIP Base P16 224,siglip_base_p16_224,1,native_challenge_type_03,0.006,0.006,0.09377373590320348
SigLIP Base P16 224,siglip_base_p16_224,2,native_challenge_type_04,0.006,0.006,0.0959911762997508
SigLIP Base P16 224,siglip_base_p16_224,3,native_challenge_type_18,0.006,0.006,0.0955435200482607
SigLIP Base P16 224,siglip_base_p16_224,4,native_challenge_type_07,0.008,0.004,0.14683086062967776
SigLIP Base P16 224,siglip_base_p16_224,5,native_challenge_type_12,0.008,0.004,0.10084186271578073
SigLIP Base P16 224,siglip_base_p16_224,6,native_challenge_type_13,0.008,0.004,0.09857734291255474
SigLIP Base P16 224,siglip_base_p16_224,7,native_challenge_type_15,0.008,0.004,0.11331781291216612
SigLIP Base P16 224,siglip_base_p16_224,8,native_challenge_type_16,0.008,0.004,0.26283163660764697
SigLIP Base P16 224,siglip_base_p16_224,9,native_challenge_type_17,0.008,0.004,0.10699710676074028
SigLIP Base P16 224,siglip_base_p16_224,10,native_challenge_type_05,0.01,0.002,0.10373511135578156
SigLIP Base P16 224,siglip_base_p16_224,11,native_challenge_type_06,0.01,0.002,0.10905089565366506
SigLIP Base P16 224,siglip_base_p16_224,12,native_challenge_type_09,0.01,0.002,0.06728287503868341
SigLIP Base P16 224,siglip_base_p16_224,13,native_challenge_type_14,0.01,0.002,0.09166129814088345
SigLIP Base P16 224,siglip_base_p16_224,14,native_challenge_type_08,0.012,0.0,0.09976447023451328
