rank_overconfidence,model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,calibration_gap,abs_calibration_gap,ece,brier_top1,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_n,high_conf_wrong_rate,wrong_high_conf_share
1,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_18,level_5,500,0.01,0.2612917869091034,0.444,0.5248231267482042,0.434,0.2635313398391008,0.25129178690910337,0.25129178690910337,0.25129178690910337,0.07638471686775866,495,0.22777287662029266,0.2616303617605055,0,0.0,0.0
2,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_07,level_5,500,0.08,0.32172975090146066,0.444,0.5248231267482042,0.364,0.20309337584674353,0.24172975090146065,0.24172975090146065,0.2430428972542286,0.11561173454098665,460,0.5728449314832688,0.29989364824217296,24,0.048,0.05217391304347826
3,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_13,level_5,500,0.074,0.31043176516890525,0.444,0.5248231267482042,0.37,0.21439136157929894,0.23643176516890524,0.23643176516890524,0.23843975695967676,0.11088884368576687,463,0.5938092405731613,0.28778604899189125,33,0.066,0.07127429805615551
4,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_16,level_5,500,0.024,0.24093687224388122,0.444,0.5248231267482042,0.42,0.283886254504323,0.21693687224388122,0.21693687224388122,0.2173795475959778,0.08018481377282173,488,0.3136642388999462,0.23914849437528946,13,0.026,0.02663934426229508
5,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_13,level_3,500,0.13,0.33384158204495906,0.444,0.5248231267482042,0.314,0.19098154470324513,0.20384158204495906,0.20384158204495906,0.20384158204495909,0.11988797217640158,435,0.6398617852192658,0.28811442524879827,42,0.084,0.09655172413793103
6,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_18,level_1,500,0.122,0.32343510426580907,0.444,0.5248231267482042,0.322,0.20138802248239512,0.20143510426580907,0.20143510426580907,0.20143510426580905,0.12034772283012449,439,0.6129450778492161,0.2832070669341739,42,0.084,0.09567198177676538
7,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_17,level_5,500,0.072,0.2727589488178492,0.444,0.5248231267482042,0.372,0.252064177930355,0.20075894881784917,0.20075894881784917,0.20075894881784914,0.09230055549851512,464,0.5897066791852316,0.24816817663417295,24,0.048,0.05172413793103448
8,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_16,level_4,500,0.048,0.24473609966039658,0.444,0.5248231267482042,0.396,0.28008702708780764,0.19673609966039657,0.19673609966039657,0.19673609966039662,0.07847889138737721,476,0.4786879199867447,0.23294020955990843,13,0.026,0.0273109243697479
9,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_13,level_2,500,0.18,0.3765731243789196,0.444,0.5248231267482042,0.264,0.1482500023692846,0.1965731243789196,0.1965731243789196,0.1965731243789196,0.14500435094511901,410,0.6430062984426816,0.31808779348687427,63,0.126,0.15365853658536585
10,CLIP ViT-B/16,clip_vit_b16,native_cure_or,native_challenge_type_07,level_4,500,0.142,0.33658944387733936,0.444,0.5248231267482042,0.30200000000000005,0.18823368287086484,0.19458944387733937,0.19458944387733937,0.19758608932793142,0.13602226258347275,429,0.5562760159373283,0.3002310601564554,44,0.088,0.10256410256410256
