model_name,model_slug,severity,channel,n,weighted_accuracy,weighted_mean_confidence,challenge_count
CLIP ViT-B/16,clip_vit_b16,level_1,color,4000,0.33875,0.43990005921479314,8
CLIP ViT-B/16,clip_vit_b16,level_1,grayscale,3999,0.21555388847211804,0.353844914484744,8
CLIP ViT-B/16,clip_vit_b16,level_2,color,4000,0.2835,0.39067567174043505,8
CLIP ViT-B/16,clip_vit_b16,level_2,grayscale,4000,0.1655,0.31540088849235326,8
CLIP ViT-B/16,clip_vit_b16,level_3,color,4000,0.242,0.354633832343854,8
CLIP ViT-B/16,clip_vit_b16,level_3,grayscale,4000,0.14225,0.2922034827377647,8
CLIP ViT-B/16,clip_vit_b16,level_4,color,4000,0.2,0.3280755009977147,8
CLIP ViT-B/16,clip_vit_b16,level_4,grayscale,4000,0.11925,0.2828113061422482,8
CLIP ViT-B/16,clip_vit_b16,level_5,color,3500,0.13057142857142856,0.2632294665692108,7
CLIP ViT-B/16,clip_vit_b16,level_5,grayscale,3500,0.06828571428571428,0.2587695440394538,7
CLIP ViT-B/32,clip_vit_b32,level_1,color,4000,0.29025,0.4118493609800935,8
CLIP ViT-B/32,clip_vit_b32,level_1,grayscale,3999,0.15378844711177794,0.33303844123877535,8
CLIP ViT-B/32,clip_vit_b32,level_2,color,4000,0.23925,0.3612058664411306,8
CLIP ViT-B/32,clip_vit_b32,level_2,grayscale,4000,0.12575,0.30294652572274205,8
CLIP ViT-B/32,clip_vit_b32,level_3,color,4000,0.20375,0.33242854168545455,8
CLIP ViT-B/32,clip_vit_b32,level_3,grayscale,4000,0.10175,0.29842781101260335,8
CLIP ViT-B/32,clip_vit_b32,level_4,color,4000,0.166,0.3120678554037586,8
CLIP ViT-B/32,clip_vit_b32,level_4,grayscale,4000,0.08375,0.29820361072663215,8
CLIP ViT-B/32,clip_vit_b32,level_5,color,3500,0.09628571428571428,0.2536613601350359,7
CLIP ViT-B/32,clip_vit_b32,level_5,grayscale,3500,0.052,0.2894855267650315,7
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_1,color,4000,0.51975,0.013217566474108025,8
