model_a,model_b,severity,shared_challenges,spearman_rank_correlation,mean_abs_rank_delta,max_abs_rank_delta
HGNetV2-B0 Prototype,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.8921470436941114,1.5714285714285714,4.0
MobileNetV3-Small Prototype,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.8978332012909817,1.4285714285714286,4.0
DINOv2 ViT-S/14 Prototype,MobileNetV3-Small Prototype,level_5,14,0.8995737410675272,1.3571428571428572,4.0
HGNetV2-B0 Prototype,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.9022779201092538,1.4285714285714286,3.0
MobileNetV3-Small Prototype,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9054958772655943,1.5714285714285714,3.0
CLIP ViT-B/16,DINOv2 ViT-S/14 Prototype,level_5,14,0.9082922832959963,1.3571428571428572,4.0
DINOv2 ViT-S/14 Prototype,HGNetV2-B0 Prototype,level_5,14,0.9085025126910262,1.2142857142857142,4.0
CLIP ViT-B/32,DINOv2 ViT-S/14 Prototype,level_5,14,0.9127121970833247,1.3571428571428572,4.0
CLIP ViT-B/32,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9185022026431718,1.2857142857142858,3.5
ConvNeXt-Tiny Prototype,HGNetV2-B0 Prototype,level_5,14,0.9188447108370772,1.2857142857142858,3.0
DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9259719384453101,1.2857142857142858,3.0
CLIP ViT-B/32,ConvNeXt-Tiny Prototype,level_5,14,0.9317180616740088,1.2142857142857142,3.0
ConvNeXt-Tiny Prototype,MobileNetV3-Small Prototype,level_5,14,0.9321935444085602,1.2857142857142858,3.0
CLIP ViT-B/16,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9328193832599119,1.2142857142857142,3.0
CLIP ViT-B/16,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.9328938538427823,1.2142857142857142,3.0
CLIP ViT-B/16,ConvNeXt-Tiny Prototype,level_5,14,0.9394273127753304,1.1428571428571428,3.0
OpenCLIP ViT-B/16 DataComp XL,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9394945179029907,1.0714285714285714,3.5
CLIP ViT-B/16,HGNetV2-B0 Prototype,level_5,14,0.9410927667895489,1.0,3.0
ConvNeXt-Tiny Prototype,OpenCLIP ViT-B/32 LAION2B,level_5,14,0.9427312775330396,1.1428571428571428,3.0
CLIP ViT-B/32,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.946095181963199,0.9285714285714286,3.0
ConvNeXt-Tiny Prototype,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.9482954033166018,1.0714285714285714,2.5
CLIP ViT-B/32,HGNetV2-B0 Prototype,level_5,14,0.9588912115515261,0.7857142857142857,2.0
DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/16 DataComp XL,level_5,14,0.9646893137631859,0.8571428571428571,2.0
HGNetV2-B0 Prototype,MobileNetV3-Small Prototype,level_5,14,0.9685393258426965,0.5714285714285714,2.0
CLIP ViT-B/16,MobileNetV3-Small Prototype,level_5,14,0.9811392675039977,0.5714285714285714,1.5
CLIP ViT-B/32,MobileNetV3-Small Prototype,level_5,14,0.9811392675039977,0.5,1.5
ConvNeXt-Tiny Prototype,DINOv2 ViT-S/14 Prototype,level_5,14,0.9834308176805799,0.5714285714285714,1.0
CLIP ViT-B/16,CLIP ViT-B/32,level_5,14,0.987885462555066,0.42857142857142855,1.0
