model_name,model_slug,severity,base_type,base_name,base_display_name,color_accuracy,grayscale_accuracy,grayscale_minus_color_accuracy,color_mean_confidence,grayscale_mean_confidence,grayscale_minus_color_confidence
CLIP ViT-B/16,clip_vit_b16,level_1,06,contrast,Contrast,0.392,0.25,-0.14200000000000002,0.48048388183116914,0.3991186939328909,-0.08136518789827824
CLIP ViT-B/16,clip_vit_b16,level_1,07,dirty_lens_1,Dirty lens 1,0.326,0.202,-0.124,0.4584408400952816,0.35093250598013404,-0.10750833411514754
CLIP ViT-B/16,clip_vit_b16,level_1,08,dirty_lens_2,Dirty lens 2,0.298,0.18,-0.118,0.38317938496172427,0.3117796454876661,-0.07139973947405814
CLIP ViT-B/16,clip_vit_b16,level_1,05,gaussian_blur,Gaussian blur,0.178,0.08,-0.09799999999999999,0.2815292625427246,0.18569779816269874,-0.09583146438002585
CLIP ViT-B/16,clip_vit_b16,level_1,04,overexposure,Overexposure,0.404,0.286,-0.11800000000000005,0.521856895044446,0.43993311390280726,-0.08192378114163873
CLIP ViT-B/16,clip_vit_b16,level_1,02,resize,Resize,0.442,0.32,-0.122,0.5265371632426977,0.4492551703006029,-0.07728199294209481
CLIP ViT-B/16,clip_vit_b16,level_1,09,salt_pepper_noise,Salt & pepper noise,0.264,0.122,-0.14200000000000002,0.3998977523595095,0.32343510426580907,-0.0764626480937004
CLIP ViT-B/16,clip_vit_b16,level_1,03,underexposure,Underexposure,0.406,0.2845691382765531,-0.12143086172344691,0.46727529364079234,0.370640875767909,-0.09663441787288335
CLIP ViT-B/16,clip_vit_b16,level_2,06,contrast,Contrast,0.35,0.198,-0.15199999999999997,0.43797817964851854,0.35581855453550815,-0.08215962511301039
CLIP ViT-B/16,clip_vit_b16,level_2,07,dirty_lens_1,Dirty lens 1,0.274,0.15,-0.12400000000000003,0.428037398993969,0.3289706134945154,-0.09906678549945358
CLIP ViT-B/16,clip_vit_b16,level_2,08,dirty_lens_2,Dirty lens 2,0.242,0.138,-0.10399999999999998,0.35864096716046334,0.29126439529657366,-0.06737657186388968
CLIP ViT-B/16,clip_vit_b16,level_2,05,gaussian_blur,Gaussian blur,0.072,0.01,-0.06199999999999999,0.18739680069684983,0.11638283924013376,-0.07101396145671607
CLIP ViT-B/16,clip_vit_b16,level_2,04,overexposure,Overexposure,0.308,0.18,-0.128,0.42637521514296534,0.3765731243789196,-0.04980209076404574
CLIP ViT-B/16,clip_vit_b16,level_2,02,resize,Resize,0.434,0.312,-0.122,0.5253144607394934,0.4499657369852066,-0.0753487237542868
CLIP ViT-B/16,clip_vit_b16,level_2,09,salt_pepper_noise,Salt & pepper noise,0.188,0.072,-0.116,0.3095540146306157,0.2563118871003389,-0.053242127530276795
CLIP ViT-B/16,clip_vit_b16,level_2,03,underexposure,Underexposure,0.4,0.264,-0.136,0.4521083369106054,0.34791995690762995,-0.10418838000297548
CLIP ViT-B/16,clip_vit_b16,level_3,06,contrast,Contrast,0.298,0.188,-0.10999999999999999,0.42122640961408614,0.34194252797961233,-0.07928388163447381
CLIP ViT-B/16,clip_vit_b16,level_3,07,dirty_lens_1,Dirty lens 1,0.222,0.09,-0.132,0.384504466354847,0.27131550005078314,-0.11318896630406383
CLIP ViT-B/16,clip_vit_b16,level_3,08,dirty_lens_2,Dirty lens 2,0.248,0.13,-0.118,0.35121308687329295,0.2784343270212412,-0.07277875985205173
CLIP ViT-B/16,clip_vit_b16,level_3,05,gaussian_blur,Gaussian blur,0.04,0.01,-0.03,0.14999143588542937,0.13472759478539229,-0.01526384110003709
CLIP ViT-B/16,clip_vit_b16,level_3,04,overexposure,Overexposure,0.218,0.13,-0.088,0.36684331895411015,0.33384158204495906,-0.03300173690915109
CLIP ViT-B/16,clip_vit_b16,level_3,02,resize,Resize,0.442,0.308,-0.134,0.5249632430970669,0.45005790574848653,-0.07490533734858035
CLIP ViT-B/16,clip_vit_b16,level_3,09,salt_pepper_noise,Salt & pepper noise,0.098,0.046,-0.052000000000000005,0.22027599838376044,0.20117477336525916,-0.019101225018501283
CLIP ViT-B/16,clip_vit_b16,level_3,03,underexposure,Underexposure,0.37,0.236,-0.134,0.4180526995882392,0.32613365090638397,-0.09191904868185524
CLIP ViT-B/16,clip_vit_b16,level_4,06,contrast,Contrast,0.274,0.164,-0.11000000000000001,0.40516433872282503,0.3452981636822224,-0.059866175040602654
CLIP ViT-B/16,clip_vit_b16,level_4,07,dirty_lens_1,Dirty lens 1,0.142,0.048,-0.09399999999999999,0.33658944387733936,0.24473609966039658,-0.09185334421694277
CLIP ViT-B/16,clip_vit_b16,level_4,08,dirty_lens_2,Dirty lens 2,0.21,0.104,-0.106,0.34023136194050313,0.28601260130107403,-0.0542187606394291
CLIP ViT-B/16,clip_vit_b16,level_4,05,gaussian_blur,Gaussian blur,0.02,0.012,-0.008,0.15963073471188546,0.12347936835885048,-0.03615136635303498
CLIP ViT-B/16,clip_vit_b16,level_4,04,overexposure,Overexposure,0.18,0.114,-0.06599999999999999,0.33952318570017814,0.30360163819789887,-0.03592154750227927
CLIP ViT-B/16,clip_vit_b16,level_4,02,resize,Resize,0.424,0.304,-0.12,0.5294322046637535,0.449659927085042,-0.07977227757871153
CLIP ViT-B/16,clip_vit_b16,level_4,09,salt_pepper_noise,Salt & pepper noise,0.034,0.016,-0.018000000000000002,0.15541592290997505,0.20790345184504985,0.0524875289350748
CLIP ViT-B/16,clip_vit_b16,level_4,03,underexposure,Underexposure,0.316,0.192,-0.124,0.3586168154552579,0.30179919900745156,-0.05681761644780636
