family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
classic,blur_classic,high,100,0.78,0.11805710054934025,0.05999999999999994,clean_train_prototype_test_split
classic,blur_classic,low,100,0.85,0.12376870535314083,-0.010000000000000009,clean_train_prototype_test_split
classic,blur_classic,mid,100,0.86,0.12165597356855869,-0.020000000000000018,clean_train_prototype_test_split
classic,jpeg_classic,high,100,0.85,0.12220253817737102,-0.010000000000000009,clean_train_prototype_test_split
classic,jpeg_classic,low,100,0.85,0.12348885141313076,-0.010000000000000009,clean_train_prototype_test_split
classic,jpeg_classic,mid,100,0.84,0.12296660043299198,0.0,clean_train_prototype_test_split
classic,resize_roundtrip,high,100,0.88,0.12057416439056397,-0.040000000000000036,clean_train_prototype_test_split
classic,resize_roundtrip,low,100,0.84,0.12392863921821118,0.0,clean_train_prototype_test_split
classic,resize_roundtrip,mid,100,0.86,0.12342325270175934,-0.020000000000000018,clean_train_prototype_test_split
clean,clean,clean,100,0.84,0.12402384452521802,0.0,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,high,100,0.86,0.12230465427041054,-0.020000000000000018,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,low,100,0.84,0.12349250249564647,0.0,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,mid,100,0.81,0.12316901572048664,0.029999999999999916,clean_train_prototype_test_split
modern_transfer,low_light_upload,high,100,0.64,0.11532002963125705,0.19999999999999996,clean_train_prototype_test_split
modern_transfer,low_light_upload,low,100,0.88,0.12339500635862351,-0.040000000000000036,clean_train_prototype_test_split
modern_transfer,low_light_upload,mid,100,0.87,0.12029044881463051,-0.030000000000000027,clean_train_prototype_test_split
modern_transfer,messenger_chain,high,100,0.85,0.12184115439653397,-0.010000000000000009,clean_train_prototype_test_split
modern_transfer,messenger_chain,low,100,0.84,0.12354079715907573,0.0,clean_train_prototype_test_split
modern_transfer,messenger_chain,mid,100,0.83,0.12319021880626678,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,restoration_artifact,high,100,0.85,0.1214683024585247,-0.010000000000000009,clean_train_prototype_test_split
modern_transfer,restoration_artifact,low,100,0.84,0.12382465071976184,0.0,clean_train_prototype_test_split
modern_transfer,restoration_artifact,mid,100,0.82,0.12319119513034821,0.020000000000000018,clean_train_prototype_test_split
modern_transfer,screenshot_chain,high,100,0.87,0.12166625380516052,-0.030000000000000027,clean_train_prototype_test_split
modern_transfer,screenshot_chain,low,100,0.84,0.12351460963487625,0.0,clean_train_prototype_test_split
modern_transfer,screenshot_chain,mid,100,0.83,0.12305418975651264,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,video_call_frame,high,100,0.89,0.11950416930019855,-0.050000000000000044,clean_train_prototype_test_split
modern_transfer,video_call_frame,low,100,0.85,0.12335175946354866,-0.010000000000000009,clean_train_prototype_test_split
modern_transfer,video_call_frame,mid,100,0.81,0.12207278713583947,0.029999999999999916,clean_train_prototype_test_split
