family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
clean,clean,clean,500,0.556,0.011936820603907109,0.0,full_cure_or_leave_clean_condition_out_prototype
control_cure_or,grayscale_no_challenge,control,499,0.2845691382765531,0.011772014017782374,0.27143086172344694,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_1,500,0.552,0.011932515062391758,0.0040000000000000036,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_2,500,0.548,0.011931301275268197,0.008000000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_3,500,0.546,0.011931751359254122,0.010000000000000009,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_4,500,0.542,0.011929981591179967,0.014000000000000012,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_1,500,0.502,0.011980162303894757,0.05400000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_2,500,0.474,0.011995658768340946,0.08200000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_3,500,0.428,0.012020373741164804,0.12800000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_4,500,0.352,0.012084459831938147,0.20400000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_5,500,0.166,0.012225281186401845,0.39,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_1,500,0.488,0.011887140421196818,0.06800000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_2,500,0.312,0.011734386561438442,0.24400000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_3,500,0.224,0.011681185211986304,0.3320000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_4,500,0.158,0.011645210461691022,0.398,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_5,500,0.132,0.011664067735895515,0.42400000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_1,500,0.104,0.011810354413464666,0.45200000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_2,500,0.028,0.012383855493739247,0.528,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_3,500,0.01,0.012864085340872407,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_4,500,0.01,0.013175141111016274,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_5,500,0.01,0.013240355281159282,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_1,500,0.464,0.011911985460668802,0.09200000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_2,500,0.368,0.011937426526099443,0.18800000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_3,500,0.332,0.011935374226421118,0.22400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_4,500,0.31,0.011907011697068811,0.24600000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_5,500,0.294,0.011889520762488247,0.26200000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_1,500,0.372,0.011601200656965375,0.18400000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_2,500,0.264,0.011473738668486475,0.29200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_3,500,0.182,0.011392343120649457,0.37400000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_4,500,0.134,0.011273885779082775,0.42200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_5,500,0.09,0.011125154325738549,0.4660000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_1,500,0.408,0.01165373569354415,0.14800000000000008,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_2,500,0.338,0.011570208096876741,0.21800000000000003,full_cure_or_leave_clean_condition_out_prototype
