family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
classic,blur_classic,high,100,0.47,0.11499801248311997,0.09000000000000008,clean_train_prototype_test_split
classic,blur_classic,low,100,0.57,0.11560699306428432,-0.009999999999999898,clean_train_prototype_test_split
classic,blur_classic,mid,100,0.57,0.11559670761227608,-0.009999999999999898,clean_train_prototype_test_split
classic,jpeg_classic,high,100,0.49,0.1155688513815403,0.07000000000000006,clean_train_prototype_test_split
classic,jpeg_classic,low,100,0.56,0.11554057307541371,0.0,clean_train_prototype_test_split
classic,jpeg_classic,mid,100,0.54,0.11562344960868359,0.020000000000000018,clean_train_prototype_test_split
classic,resize_roundtrip,high,100,0.55,0.11565308824181557,0.010000000000000009,clean_train_prototype_test_split
classic,resize_roundtrip,low,100,0.56,0.11560881927609444,0.0,clean_train_prototype_test_split
classic,resize_roundtrip,mid,100,0.57,0.11576637730002404,-0.009999999999999898,clean_train_prototype_test_split
clean,clean,clean,100,0.56,0.11554641984403133,0.0,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,high,100,0.5,0.11515393301844597,0.06000000000000005,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,low,100,0.56,0.11547130100429058,0.0,clean_train_prototype_test_split
modern_transfer,dirty_lens_recompress,mid,100,0.56,0.11542676828801632,0.0,clean_train_prototype_test_split
modern_transfer,low_light_upload,high,100,0.56,0.11185363627970218,0.0,clean_train_prototype_test_split
modern_transfer,low_light_upload,low,100,0.54,0.11519199438393116,0.020000000000000018,clean_train_prototype_test_split
modern_transfer,low_light_upload,mid,100,0.53,0.11432866536080838,0.030000000000000027,clean_train_prototype_test_split
modern_transfer,messenger_chain,high,100,0.49,0.1155362579971552,0.07000000000000006,clean_train_prototype_test_split
modern_transfer,messenger_chain,low,100,0.55,0.11551622398197652,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,messenger_chain,mid,100,0.54,0.11561211064457894,0.020000000000000018,clean_train_prototype_test_split
modern_transfer,restoration_artifact,high,100,0.53,0.11523171283304691,0.030000000000000027,clean_train_prototype_test_split
modern_transfer,restoration_artifact,low,100,0.55,0.11546021811664105,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,restoration_artifact,mid,100,0.55,0.11545056857168674,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,screenshot_chain,high,100,0.5,0.1154459159821272,0.06000000000000005,clean_train_prototype_test_split
modern_transfer,screenshot_chain,low,100,0.56,0.11558282785117627,0.0,clean_train_prototype_test_split
modern_transfer,screenshot_chain,mid,100,0.56,0.1155268131941557,0.0,clean_train_prototype_test_split
modern_transfer,video_call_frame,high,100,0.46,0.11467532701790333,0.10000000000000003,clean_train_prototype_test_split
modern_transfer,video_call_frame,low,100,0.55,0.11554424658417702,0.010000000000000009,clean_train_prototype_test_split
modern_transfer,video_call_frame,mid,100,0.52,0.11514775976538658,0.040000000000000036,clean_train_prototype_test_split
