model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,100,0.71,0.8063394099473953,0.08000000000000007
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,100,0.79,0.8537436187267303,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,100,0.76,0.8422755941748619,0.030000000000000027
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,100,0.78,0.8280988827347755,0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,low,100,0.78,0.8438149446249008,0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,100,0.8,0.8435629114508629,-0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,100,0.77,0.8416867953538895,0.020000000000000018
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,100,0.79,0.8517699927091599,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,mid,100,0.78,0.8476080632209778,0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,clean,clean,clean,100,0.79,0.8518817180395126,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,high,100,0.77,0.8424811398983002,0.020000000000000018
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,low,100,0.78,0.8491104660928249,0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,100,0.81,0.8439469292759896,-0.020000000000000018
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,100,0.64,0.7460648681223393,0.15000000000000002
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,100,0.75,0.8221105319261551,0.040000000000000036
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,100,0.74,0.7972989490628243,0.050000000000000044
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,100,0.82,0.8421983829140663,-0.029999999999999916
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,100,0.81,0.8513139666616917,-0.020000000000000018
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,100,0.79,0.8475405898690224,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,100,0.76,0.8102082806825638,0.030000000000000027
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,100,0.79,0.8457913979887962,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,100,0.79,0.8335688184201717,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,100,0.79,0.8222270667552948,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,100,0.79,0.8487654834985733,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,100,0.82,0.8482864427566529,-0.029999999999999916
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,high,100,0.75,0.8153864976763725,0.040000000000000036
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,low,100,0.78,0.8416436350345612,0.010000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,mid,100,0.76,0.8189205580949783,0.030000000000000027
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,high,100,0.79,0.8492678132653236,0.10999999999999999
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,low,100,0.87,0.8734588950872422,0.030000000000000027
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,mid,100,0.84,0.8729715406894684,0.06000000000000005
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,high,100,0.83,0.8595800465345382,0.07000000000000006
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,low,100,0.88,0.8753455120325089,0.020000000000000018
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,mid,100,0.86,0.8661421242356301,0.040000000000000036
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,high,100,0.86,0.8705319716036319,0.040000000000000036
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,low,100,0.9,0.8757443755865097,0.0
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,mid,100,0.9,0.872375277876854,0.0
CLIP ViT-B/16,clip_vit_b16,clean,clean,clean,100,0.9,0.8785907293856144,0.0
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,high,100,0.85,0.8643576484918595,0.050000000000000044
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,low,100,0.9,0.8700289517641068,0.0
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,mid,100,0.88,0.872401992380619,0.020000000000000018
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,high,100,0.78,0.804657946228981,0.12
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,low,100,0.86,0.8287377968430519,0.040000000000000036
CLIP ViT-B/16,clip_vit_b16,modern_transfer,low_light_upload,mid,100,0.8,0.8335857605934143,0.09999999999999998
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,high,100,0.86,0.8681625959277153,0.040000000000000036
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,low,100,0.9,0.8794464442133904,0.0
CLIP ViT-B/16,clip_vit_b16,modern_transfer,messenger_chain,mid,100,0.87,0.8751426410675048,0.030000000000000027
CLIP ViT-B/16,clip_vit_b16,modern_transfer,restoration_artifact,high,100,0.82,0.8675135910511017,0.08000000000000007
CLIP ViT-B/16,clip_vit_b16,modern_transfer,restoration_artifact,low,100,0.87,0.8700172188878059,0.030000000000000027
