family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,500,0.546,0.7046413803547621,0.0
native_cure_or,native_challenge_type_02,level_1,500,0.548,0.698967978656292,-0.0020000000000000018
native_cure_or,native_challenge_type_02,level_2,500,0.544,0.6943603493571281,0.0020000000000000018
native_cure_or,native_challenge_type_02,level_3,500,0.544,0.6944518537521363,0.0020000000000000018
native_cure_or,native_challenge_type_02,level_4,500,0.528,0.6878336199820042,0.018000000000000016
native_cure_or,native_challenge_type_03,level_1,500,0.528,0.6791090834438801,0.018000000000000016
native_cure_or,native_challenge_type_03,level_2,500,0.522,0.6760292550921441,0.02400000000000002
native_cure_or,native_challenge_type_03,level_3,500,0.506,0.6606785805672407,0.040000000000000036
native_cure_or,native_challenge_type_03,level_4,500,0.474,0.6320000936537981,0.07200000000000006
native_cure_or,native_challenge_type_03,level_5,500,0.402,0.5748489312231541,0.14400000000000002
native_cure_or,native_challenge_type_04,level_1,500,0.538,0.6891254991292953,0.008000000000000007
native_cure_or,native_challenge_type_04,level_2,500,0.416,0.6005910799205303,0.13000000000000006
native_cure_or,native_challenge_type_04,level_3,500,0.278,0.5541345088481903,0.268
native_cure_or,native_challenge_type_04,level_4,500,0.232,0.5106728147864342,0.31400000000000006
native_cure_or,native_challenge_type_04,level_5,500,0.194,0.48212280052900314,0.35200000000000004
native_cure_or,native_challenge_type_05,level_1,500,0.288,0.5331381084620953,0.25800000000000006
native_cure_or,native_challenge_type_05,level_2,500,0.14,0.42625533939898014,0.406
native_cure_or,native_challenge_type_05,level_3,500,0.092,0.30817260774970057,0.45400000000000007
native_cure_or,native_challenge_type_05,level_4,500,0.074,0.24020203065127135,0.47200000000000003
native_cure_or,native_challenge_type_05,level_5,500,0.028,0.26545551262050865,0.518
native_cure_or,native_challenge_type_06,level_1,500,0.508,0.6649542954415083,0.038000000000000034
native_cure_or,native_challenge_type_06,level_2,500,0.49,0.6366625735461712,0.05600000000000005
native_cure_or,native_challenge_type_06,level_3,500,0.426,0.608115764439106,0.12000000000000005
native_cure_or,native_challenge_type_06,level_4,500,0.394,0.5913664419502019,0.15200000000000002
native_cure_or,native_challenge_type_06,level_5,500,0.362,0.5794003892540932,0.18400000000000005
native_cure_or,native_challenge_type_07,level_1,500,0.44,0.6104068872034549,0.10600000000000004
native_cure_or,native_challenge_type_07,level_2,500,0.328,0.5629422361254692,0.21800000000000003
native_cure_or,native_challenge_type_07,level_3,500,0.246,0.5188689737766982,0.30000000000000004
native_cure_or,native_challenge_type_07,level_4,500,0.156,0.4967363130897284,0.39
native_cure_or,native_challenge_type_07,level_5,500,0.07,0.5259913793951273,0.47600000000000003
native_cure_or,native_challenge_type_08,level_1,500,0.348,0.6000567926615477,0.19800000000000006
native_cure_or,native_challenge_type_08,level_2,500,0.318,0.5631994047909975,0.22800000000000004
native_cure_or,native_challenge_type_08,level_3,500,0.292,0.5732617412507534,0.25400000000000006
native_cure_or,native_challenge_type_08,level_4,500,0.25,0.5818683402836323,0.29600000000000004
native_cure_or,native_challenge_type_08,level_5,500,0.19,0.5083575337976217,0.35600000000000004
native_cure_or,native_challenge_type_09,level_1,500,0.324,0.5298911244422198,0.22200000000000003
native_cure_or,native_challenge_type_09,level_2,500,0.184,0.4429081794321537,0.36200000000000004
native_cure_or,native_challenge_type_09,level_3,500,0.086,0.36362632976472375,0.4600000000000001
native_cure_or,native_challenge_type_09,level_4,500,0.016,0.38127678526937964,0.53
native_cure_or,native_challenge_type_09,level_5,500,0.008,0.381703360080719,0.538
native_cure_or,native_challenge_type_11,level_1,500,0.388,0.6314081665426493,0.15800000000000003
native_cure_or,native_challenge_type_11,level_2,500,0.384,0.6341576628834009,0.16200000000000003
native_cure_or,native_challenge_type_11,level_3,500,0.382,0.6301628792583942,0.16400000000000003
native_cure_or,native_challenge_type_11,level_4,500,0.372,0.6244974690675735,0.17400000000000004
native_cure_or,native_challenge_type_12,level_1,499,0.37675350701402804,0.6182317342123909,0.169246492985972
native_cure_or,native_challenge_type_12,level_2,500,0.376,0.6123950753509998,0.17000000000000004
native_cure_or,native_challenge_type_12,level_3,500,0.368,0.602418857499957,0.17800000000000005
native_cure_or,native_challenge_type_12,level_4,500,0.348,0.5914842922240495,0.19800000000000006
native_cure_or,native_challenge_type_12,level_5,500,0.306,0.5396542078107596,0.24000000000000005
native_cure_or,native_challenge_type_13,level_1,500,0.382,0.6239247931092977,0.16400000000000003
native_cure_or,native_challenge_type_13,level_2,500,0.244,0.5643849254846572,0.30200000000000005
native_cure_or,native_challenge_type_13,level_3,500,0.178,0.6046338998824358,0.36800000000000005
native_cure_or,native_challenge_type_13,level_4,500,0.134,0.6283161355555058,0.41200000000000003
native_cure_or,native_challenge_type_13,level_5,500,0.112,0.6163391537964344,0.43400000000000005
native_cure_or,native_challenge_type_14,level_1,500,0.124,0.43500833047926424,0.42200000000000004
native_cure_or,native_challenge_type_14,level_2,500,0.032,0.41559718146920205,0.514
native_cure_or,native_challenge_type_14,level_3,500,0.026,0.38476069788634776,0.52
native_cure_or,native_challenge_type_14,level_4,500,0.018,0.31718542326986787,0.528
native_cure_or,native_challenge_type_14,level_5,500,0.016,0.29985691061615943,0.53
native_cure_or,native_challenge_type_15,level_1,500,0.36,0.5906111844927072,0.18600000000000005
native_cure_or,native_challenge_type_15,level_2,500,0.304,0.5625752288252115,0.24200000000000005
native_cure_or,native_challenge_type_15,level_3,500,0.276,0.5454035175293684,0.27
native_cure_or,native_challenge_type_15,level_4,500,0.254,0.5391418391317129,0.29200000000000004
native_cure_or,native_challenge_type_15,level_5,500,0.234,0.5359462122321129,0.31200000000000006
native_cure_or,native_challenge_type_16,level_1,500,0.252,0.5152722527831792,0.29400000000000004
native_cure_or,native_challenge_type_16,level_2,500,0.188,0.45548191213607786,0.35800000000000004
native_cure_or,native_challenge_type_16,level_3,500,0.104,0.4354228793978691,0.44200000000000006
native_cure_or,native_challenge_type_16,level_4,500,0.048,0.4177309085279703,0.49800000000000005
native_cure_or,native_challenge_type_16,level_5,500,0.02,0.4494712501168251,0.526
native_cure_or,native_challenge_type_17,level_1,500,0.224,0.5200784821808339,0.32200000000000006
native_cure_or,native_challenge_type_17,level_2,500,0.174,0.4914860589653254,0.37200000000000005
native_cure_or,native_challenge_type_17,level_3,500,0.158,0.5175983162224292,0.388
native_cure_or,native_challenge_type_17,level_4,500,0.136,0.5187629271298647,0.41000000000000003
native_cure_or,native_challenge_type_17,level_5,500,0.08,0.49697766710817814,0.466
native_cure_or,native_challenge_type_18,level_1,500,0.164,0.42733078357577325,0.382
native_cure_or,native_challenge_type_18,level_2,500,0.078,0.39782487881183626,0.468
native_cure_or,native_challenge_type_18,level_3,500,0.022,0.39917354410886763,0.524
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.45223190957307813,0.536
native_cure_or,native_challenge_type_18,level_5,500,0.01,0.7392940828204155,0.536
