family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,100,0.85,0.8929685404896737,0.0
native_cure_or,native_challenge_type_02,level_1,100,0.87,0.8928628489375114,-0.020000000000000018
native_cure_or,native_challenge_type_02,level_2,100,0.86,0.882833289206028,-0.010000000000000009
native_cure_or,native_challenge_type_02,level_3,100,0.86,0.8810428375005722,-0.010000000000000009
native_cure_or,native_challenge_type_02,level_4,100,0.86,0.8864822289347649,-0.010000000000000009
native_cure_or,native_challenge_type_08,level_1,100,0.58,0.8117530637979508,0.27
native_cure_or,native_challenge_type_08,level_2,100,0.49,0.8717743468284607,0.36
native_cure_or,native_challenge_type_08,level_3,100,0.46,0.8644165131449699,0.38999999999999996
native_cure_or,native_challenge_type_08,level_4,100,0.44,0.8181923678517342,0.41
native_cure_or,native_challenge_type_14,level_1,100,0.36,0.7507597547769547,0.49
native_cure_or,native_challenge_type_14,level_2,100,0.15,0.5858730056881905,0.7
native_cure_or,native_challenge_type_14,level_3,100,0.1,0.7376434326171875,0.75
native_cure_or,native_challenge_type_14,level_4,100,0.1,0.8570338165760041,0.75
