family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
classic,blur_classic,high,250,0.756,0.8834675652980805,0.124
classic,blur_classic,low,250,0.868,0.9098236794471741,0.01200000000000001
classic,blur_classic,mid,250,0.804,0.8897440285682678,0.07599999999999996
classic,jpeg_classic,high,250,0.86,0.9147032850980759,0.020000000000000018
classic,jpeg_classic,low,250,0.872,0.9157376707792282,0.008000000000000007
classic,jpeg_classic,mid,250,0.864,0.9189554687738418,0.016000000000000014
classic,resize_roundtrip,high,250,0.832,0.896259296655655,0.04800000000000004
classic,resize_roundtrip,low,250,0.88,0.9152515459060669,0.0
classic,resize_roundtrip,mid,250,0.88,0.9102756354808808,0.0
clean,clean,clean,250,0.88,0.9197780823707581,0.0
modern_transfer,dirty_lens_recompress,high,250,0.84,0.9073954448699951,0.040000000000000036
modern_transfer,dirty_lens_recompress,low,250,0.872,0.9134368542432785,0.008000000000000007
modern_transfer,dirty_lens_recompress,mid,250,0.864,0.9182772965431213,0.016000000000000014
modern_transfer,low_light_upload,high,250,0.648,0.8487116847038269,0.23199999999999998
modern_transfer,low_light_upload,low,250,0.828,0.8993955849409103,0.052000000000000046
modern_transfer,low_light_upload,mid,250,0.764,0.8855607056617737,0.11599999999999999
modern_transfer,messenger_chain,high,250,0.856,0.9162108180522919,0.02400000000000002
modern_transfer,messenger_chain,low,250,0.88,0.9160979009866714,0.0
modern_transfer,messenger_chain,mid,250,0.864,0.9221186672449112,0.016000000000000014
modern_transfer,restoration_artifact,high,250,0.84,0.9009164330959321,0.040000000000000036
modern_transfer,restoration_artifact,low,250,0.856,0.916593654870987,0.02400000000000002
modern_transfer,restoration_artifact,mid,250,0.868,0.9098792320489884,0.01200000000000001
modern_transfer,screenshot_chain,high,250,0.856,0.9064785727262497,0.02400000000000002
modern_transfer,screenshot_chain,low,250,0.868,0.9141874364614486,0.01200000000000001
modern_transfer,screenshot_chain,mid,250,0.872,0.92015705037117,0.008000000000000007
modern_transfer,video_call_frame,high,250,0.784,0.8891824662685395,0.09599999999999997
modern_transfer,video_call_frame,low,250,0.872,0.9090000922679902,0.008000000000000007
modern_transfer,video_call_frame,mid,250,0.84,0.9042723472118378,0.040000000000000036
