model_name,model_slug,family,recipe,severity,label,n,accuracy,drop_vs_clean_label
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,calcium_bottle,10,0.5,0.30000000000000004
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,canon_camera,10,0.0,0.3
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,hair_brush,10,0.6,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,lg_cell_phone,10,0.6,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,high,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,baseball,10,0.8,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,canon_camera,10,0.1,0.19999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,lg_cell_phone,10,0.6,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,blur_classic,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,canon_camera,10,0.1,0.19999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,high,dymo_label_maker,10,0.4,0.09999999999999998
