family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
classic,blur_classic,high,250,0.22,0.4331388822197914,-0.023999999999999994
classic,blur_classic,low,250,0.2,0.44883078896999357,-0.0040000000000000036
classic,blur_classic,mid,250,0.224,0.4404159895181656,-0.027999999999999997
classic,jpeg_classic,high,250,0.208,0.4828775307536125,-0.011999999999999983
classic,jpeg_classic,low,250,0.208,0.4707822172641754,-0.011999999999999983
classic,jpeg_classic,mid,250,0.22,0.4849663287401199,-0.023999999999999994
classic,resize_roundtrip,high,250,0.216,0.4256435883641243,-0.01999999999999999
classic,resize_roundtrip,low,250,0.2,0.4573970020413399,-0.0040000000000000036
classic,resize_roundtrip,mid,250,0.208,0.44800062489509584,-0.011999999999999983
clean,clean,clean,250,0.196,0.4581617656350136,0.0
modern_transfer,dirty_lens_recompress,high,250,0.22,0.47176036369800567,-0.023999999999999994
modern_transfer,dirty_lens_recompress,low,250,0.232,0.4694009812474251,-0.036000000000000004
modern_transfer,dirty_lens_recompress,mid,250,0.232,0.4725805615186691,-0.036000000000000004
modern_transfer,low_light_upload,high,250,0.184,0.38850566762685773,0.01200000000000001
modern_transfer,low_light_upload,low,250,0.208,0.46574729281663896,-0.011999999999999983
modern_transfer,low_light_upload,mid,250,0.196,0.4531563240289688,0.0
modern_transfer,messenger_chain,high,250,0.22,0.5016681614518166,-0.023999999999999994
modern_transfer,messenger_chain,low,250,0.232,0.466771364569664,-0.036000000000000004
modern_transfer,messenger_chain,mid,250,0.212,0.4747504505515099,-0.015999999999999986
modern_transfer,restoration_artifact,high,250,0.228,0.4662274550199509,-0.032
modern_transfer,restoration_artifact,low,250,0.204,0.48250705188512805,-0.00799999999999998
modern_transfer,restoration_artifact,mid,250,0.208,0.473447025001049,-0.011999999999999983
modern_transfer,screenshot_chain,high,250,0.22,0.46938810640573503,-0.023999999999999994
modern_transfer,screenshot_chain,low,250,0.2,0.46969060188531875,-0.0040000000000000036
modern_transfer,screenshot_chain,mid,250,0.224,0.475745624601841,-0.027999999999999997
modern_transfer,video_call_frame,high,250,0.224,0.4640729140043259,-0.027999999999999997
modern_transfer,video_call_frame,low,250,0.196,0.4859653210043907,0.0
modern_transfer,video_call_frame,mid,250,0.228,0.47926126021146775,-0.032
